, Product Division,Category,Sub Category,Destination,Product Name,Portion,Quantity Sold,Value of Sales,Net Value of Sales,% of Total Sales,% of Division,% of Category,% of Sub-Cat,Gross Sales,Discount,Promotion,Tax
8, Bar                 ,Bottle Bitter,10 Bottle Bitter,Standard,Bt Newcastle Brn,Standard,14,39.260000000000005,32.70660000000001,0.0488224658,0.1261404368,100,100,40.88,0,1.62,6.5534
9,                        ,                 ,                       ,           ,SubTotal,,14,39.260000000000005,32.70660000000001,0.0488224658,0.1261404368,,100,40.88,0,1.62,6.5534
10,                     ,                   ,                      ,Sub-Cat Total,,,14,39.260000000000005,32.70660000000001,0.0488224658,0.1261404368,,,40.88,0,1.62,6.5534
11,,,Category Total,,,,14,39.260000000000005,32.70660000000001,0.0488224658,0.1261404368,100,,40.88,0,1.62,6.5534
12,Bar,Bottle Cider,14 Bottled Cider,Standard,AF Bt Kop NONALC,Standard,27,46.09,38.3997,0.0573160328,0.1480848887,2.3698973164,2.3698973164,71.01,0,24.92,7.6903
13,Bar,Bottle Cider,14 Bottled Cider,Standard,Bt AngryOrcha500,Standard,23,68.91,57.4312,0.0856942465,0.2214044192,3.5432767211,3.5432767211,82.8,1.24,12.65,11.4788
14,Bar,Bottle Cider,14 Bottled Cider,Standard,Bt Aspall Crisp,Standard,110,329.34999999999997,274.47599999999994,0.4095690043,1.0581852484,16.9348162545,16.9348162545,396,0.72,65.93,54.874
15,Bar,Bottle Cider,14 Bottled Cider,Standard,Bt Bulmers Orig,Standard,12,34.88,29.0679,0.0433756395,0.1120677136,1.793491395,1.793491395,43.2,0,8.32,5.8121
16,Bar,Bottle Cider,14 Bottled Cider,Standard,Bt Bulmers Red,Standard,49,144.5,121.635,0.1796955249,0.4642713478,7.4300317255,7.4300317255,176.4,0,31.9,22.865
17,Bar,Bottle Cider,14 Bottled Cider,Standard,Bt Kop Mix Fruit,Standard,83,221.75,184.6908,0.2757611256,0.7124717742,11.4021421116,11.4021421116,231.57,0.56,9.26,37.0592
18,Bar,Bottle Cider,14 Bottled Cider,Standard,Bt Kop Pear,Standard,84,261.93999999999994,218.92739999999995,0.3257401093,0.841600255,13.4686678904,13.4686678904,302.4,0.72,39.74,43.0126
19,Bar,Bottle Cider,14 Bottled Cider,Standard,Bt Kopp Mango,Standard,24,64.41999999999999,53.65739999999999,0.0801106278,0.2069782715,3.3124058391,3.3124058391,66.96,0,2.54,10.7626
20,Bar,Bottle Cider,14 Bottled Cider,Standard,Bt Kopp Passionf,Standard,45,121.03,100.7955,0.1505089922,0.3888633995,6.2232300328,6.2232300328,125.55,0.56,3.96,20.2345
21,Bar,Bottle Cider,14 Bottled Cider,Standard,Bt KopStraw&Lime,Standard,161,432.44,360.1503,0.537768393,1.3894083159,22.2355911374,22.2355911374,449.19,2.24,14.51,72.2897
22,Bar,Bottle Cider,14 Bottled Cider,Standard,Thatc Bld Orange,Standard,71,219.5,182.9097,0.2729630984,0.7052426356,11.2864495761,11.2864495761,255.6,0.48,35.62,36.5903
23,,,,,SubTotal,,689,1944.8100000000002,1622.1408999999996,2.4185027943,6.2485782694,99.9999999999,100,2200.6800000000003,6.520000000000001,249.35,322.6691
24,,,,Sub-Cat Total,,,689,1944.8100000000002,1622.1408999999996,2.4185027943,6.2485782694,99.9999999999,99.9999999999,2200.6800000000003,6.520000000000001,249.35,322.6691
25,,,Category Total,,,,689,1944.8100000000002,1622.1408999999996,2.4185027943,6.2485782694,100,99.9999999999,2200.6800000000003,6.5200000000000005,249.35,322.6691
26,Bar,Bottle Lager,09 Bottle Lager,Standard,AF Bt Becks Blue,Standard,6,9.66,8.0518,0.0120128635,0.0310371019,0.6816305506,0.6816305506,11.94,0,2.28,1.6082
27,Bar,Bottle Lager,09 Bottle Lager,Standard,AF Bt Corona,Standard,35,63.56999999999999,52.95689999999999,0.0790535953,0.2042472635,4.4856370705,4.4856370705,92.05,0,28.48,10.6131
28,Bar,Bottle Lager,09 Bottle Lager,Standard,AF Bt Erdinger,Standard,33,60.09,50.0606,0.0747259799,0.1930661958,4.2400807231,4.2400807231,86.79,0,26.7,10.0294
29,Bar,Bottle Lager,09 Bottle Lager,Standard,AF Bt Heineken 0,Standard,10,15.620000000000001,13.0127,0.0194245266,0.0501862869,1.1021810766,1.1021810766,26.3,0,10.68,2.6073
30,Bar,Bottle Lager,09 Bottle Lager,Standard,AF Bt Stella,Standard,6,6.879999999999999,5.7315999999999985,0.0085557454,0.0221050995,0.4854677213,0.4854677213,15.78,0,8.9,1.1484
31,Bar,Bottle Lager,09 Bottle Lager,Standard,AF Guinness,Standard,43,71.98,59.9658,0.0895119992,0.2312681773,5.0790649101,5.0790649101,113.09,0.17,40.94,12.0142
32,Bar,Bottle Lager,09 Bottle Lager,Standard,Bt Asahi 5%,Standard,34,110.16,92.5556,0.1369914119,0.3539386275,7.7731285149,7.7731285149,156.4,1.84,44.4,17.6044
33,Bar,Bottle Lager,09 Bottle Lager,Standard,Bt Becks 4%,Standard,15,28.490000000000002,23.753,0.0354292422,0.0915369599,2.0103161891,2.0103161891,29.85,0,1.36,4.737
34,Bar,Bottle Lager,09 Bottle Lager,Standard,Bt Birra Moretti,Standard,7,23.32,19.4319,0.0289999975,0.0749260057,1.6455097764,1.6455097764,32.2,0,8.88,3.8881
35,Bar,Bottle Lager,09 Bottle Lager,Standard,Bt BrewdogHazJan,Standard,18,52.64,43.8517,0.0654614009,0.1691297145,3.7143925656,3.7143925656,86.94,0,34.3,8.7883
36,Bar,Bottle Lager,09 Bottle Lager,Standard,Bt Budweiser,Standard,3,9.8,8.170000000000002,0.0121869629,0.0314869149,0.6915092542,0.6915092542,10.8,0,1,1.63
37,Bar,Bottle Lager,09 Bottle Lager,Standard,Bt Camden Hells,Standard,20,86.16,71.7907,0.1071457884,0.2768278154,6.0796364637,6.0796364637,96.6,0,10.44,14.3693
38,Bar,Bottle Lager,09 Bottle Lager,Standard,Bt Corona Extra,Standard,22,70.32000000000001,58.604600000000005,0.0874476769,0.2259346794,4.9619317099,4.9619317099,79.2,0,8.88,11.7154
39,Bar,Bottle Lager,09 Bottle Lager,Standard,Bt Desperados,Standard,42,134.76,112.31899999999999,0.167583176,0.4329772099,9.5089578673,9.5089578673,151.2,0,16.44,22.441
40,Bar,Bottle Lager,09 Bottle Lager,Standard,Bt Efes 500ml,Standard,1,2.38,1.9832999999999998,0.002959691,0.0076468222,0.1679379617,0.1679379617,4.42,0,2.04,0.3967
41,Bar,Bottle Lager,09 Bottle Lager,Standard,Bt Elvis J 6.5%,Standard,12,31.250000000000004,26.031800000000004,0.0388614889,0.1004047032,2.205067775,2.205067775,60.84,0,29.59,5.2182
42,Bar,Bottle Lager,09 Bottle Lager,Standard,Bt Erdinger NEW,Standard,5,15.98,13.3127,0.019872211,0.0513429491,1.1275834574,1.1275834574,22.1,0,6.12,2.6673
43,Bar,Bottle Lager,09 Bottle Lager,Standard,Bt Galicia GF,Standard,39,119.42,99.5179,0.1485068483,0.3836905492,8.426534198,8.426534198,140.4,0,20.98,19.9021
44,Bar,Bottle Lager,09 Bottle Lager,Standard,Bt Madri,Standard,17,58.980000000000004,49.1514,0.0733456198,0.1894998207,4.1617567158,4.1617567158,67.83,0.8,8.05,9.8286
45,Bar,Bottle Lager,09 Bottle Lager,Standard,Bt Mahou,Standard,35,125.16000000000001,104.25810000000001,0.1556449266,0.4021328851,8.8315610469,8.8315610469,139.65,0,14.49,20.9019
46,Bar,Bottle Lager,09 Bottle Lager,Standard,Bt Modelo,Standard,20,59.24,49.3758,0.0736689474,0.1903351878,4.1801028796,4.1801028796,72,0,12.76,9.8642
47,Bar,Bottle Lager,09 Bottle Lager,Standard,Bt Peroni 5% 660,Standard,6,14.280000000000001,11.900100000000002,0.017758146,0.0458809332,1.0076277704,1.0076277704,27.6,0,13.32,2.3799
48,Bar,Bottle Lager,09 Bottle Lager,Standard,Bt Punk AF,Standard,17,29.939999999999998,24.941599999999998,0.0372324153,0.0961957381,2.1126313338,2.1126313338,44.71,0.53,14.24,4.9984
49,Bar,Bottle Lager,09 Bottle Lager,Standard,Bt San Miguel,Standard,11,40.67,33.8543,0.0505758962,0.130670697,2.869763405,2.869763405,43.89,0,3.22,6.8157
50,Bar,Bottle Lager,09 Bottle Lager,Standard,Bt Staropra 660m,Standard,6,14.280000000000001,11.898900000000001,0.017758146,0.0458809332,1.0076277704,1.0076277704,27.6,0,13.32,2.3811
51,Bar,Bottle Lager,09 Bottle Lager,Standard,Bt Stella Unfilt,Standard,5,20.78,17.308300000000003,0.0258413357,0.0667651115,1.4662818676,1.4662818676,23,0,2.22,3.4717
52,Bar,Bottle Lager,09 Bottle Lager,Standard,Bt Tyskie 650ml,Standard,7,25.540000000000003,21.280800000000003,0.0317607177,0.0820587559,1.8021577911,1.8021577911,32.2,0,6.66,4.2592
53,Bar,Bottle Lager,09 Bottle Lager,Standard,Can Brew Fierce,Standard,2,6.7,5.585,0.0083319032,0.0215267684,0.472766531,0.472766531,7.2,0,0.5,1.115
54,Bar,Bottle Lager,09 Bottle Lager,Standard,Can Fierce IPA,Standard,3,9.08,7.5675,0.0112915942,0.0291735906,0.6407044927,0.6407044927,10.8,0,1.72,1.5125
